,ACAd,ACA,ACB,TC,AId,GU,AIp,MD,DpM,AUD,BLAp,BLAa,BMA,CEA,CLA,COA,CP,PRN,Hipp,ECT,ENTl,ENT,EPd,EP,MRN,LD,CT,LS,MM,MOp,MOs,M,PT,MS,OB,ORBm,ORBvl,OT,PAG,PS,PERI,PIR,PL,VL,RSP,VM,SC,SI,SN,SSs,SSp,SSp-b,SUM,TEa,VISC,VIS,VISp,VTA
ECT,0,0,0.024868791,6.29422E-05,0,0.002352374,0,0.000163451,5.06553E-05,0.009263567,0,0.002733012,2.94194E-06,4.36386E-05,0,0,0,0,0.012730725,0.082018279,0.060267326,0.030133663,0.008788878,0.004394439,0.000741598,0,5.67459E-06,0,0,0,0,0,0.000335808,0.002202157,0.004634247,0.003381231,0.001627618,0.009939772,0.046346299,0.000221119,0,0.005260481,0.004955998,0.004841966,0,0,0.004164115,0.009999318,0,0,0,0.001204682,0,0,0,0,0,0
ENTl,0.014098146,0.014869325,0.160485859,0,0,0.001481203,0.006134699,0.000107374,0,0.002191012,0.022410123,0.011478131,0.003572212,0.001586087,0.000324518,0.007105787,0,0,0.039146588,0.025303964,0.23100645,0.139358414,0.013778162,0.009109745,0,0.000423927,4.91164E-06,0.007540041,0,0,0.016193008,0.008096504,0,0.011044586,0.038999544,0.000842642,0.003451057,0.083676072,0,0.003271566,0.019932619,0.059373818,0.002437286,0,0.003980499,1.46629E-06,0.000134608,0.036637577,9.44893E-05,0,0,0.004166524,0,0.010230317,0,0.009320716,0.003606763,9.36974E-05
ENT,0.007049073,0.007434662,0.08024293,0,0,0.000740602,0.00306735,0.000124939,0,0.001095506,0.011205061,0.005739065,0.001786106,0.000793044,0.000162259,0.003552893,0,0,0.060201094,0.012651982,0.13651629,0.126072774,0.006889081,0.004554872,0,0.001945015,3.02428E-05,0.003827341,0,0,0.008096504,0.004048252,0,0.008765549,0.019499772,0.000421321,0.001946927,0.041838036,0,0.00736316,0.009966309,0.029686909,0.001218643,0,0.00199025,5.79297E-06,6.73039E-05,0.018318789,4.72447E-05,0,0,0.002083262,0,0.005115158,0,0.004660358,0.001803382,4.68487E-05
EPd,0,0.00233915,0,0.00055669,0,0,0,0.006502987,0,0,0,0,0.001525325,0,0,0.003300333,0,9.22001E-05,0,0,0,0,0,0,0,0.000152557,1.46425E-05,7.91093E-05,0.001245929,0,0,0,4.11848E-05,0,0,0,0,0,0,1.30121E-07,0,0,0,0.003241381,0.001708938,0.00030344,0,0,5.53023E-05,0,0,0,0.000434692,0,0,0,0,5.09411E-05
EP,0,0.001169575,0,0.000867669,0,0,0,0.004467559,0.006788376,0,0,0,0.000762662,0,0,0.001650166,0,8.69617E-05,0.000400278,0,0,0,0,0,0.007619072,0.000208184,0.001238135,0.005491199,0.000622964,0,0,0,0.00014729,0,0.004908806,0,0,0,0.011095262,8.63393E-05,0,0,0,0.002151122,0.000854469,0.00015172,0.009786944,0,0.000332066,0,0,0,0.000217346,0,0,0,4.38348E-05,0.003048223
MRN,0,0,0.001041223,0.030046589,0.001143291,0.001053195,0.000119655,0.003359032,0.094675476,0.000190916,3.70417E-05,1.85208E-05,0.000515819,0.001434244,0.002837056,4.54094E-06,0.041675367,0.138210578,0.002439113,0,0,0,0.001014512,0.000507256,0.159707878,0,0.00766712,0.003951873,0.000346371,0.004774548,0,0.002387274,0.003795951,0,0.000946024,0.000220737,0.000269582,0.000895109,0.983015726,0.000121915,0,0.000946301,0.000229504,0.006657846,0,0.001641622,0.57448384,0.014637842,0.019723337,0.001797527,0.001298774,0.000366325,8.99185E-05,0,0.000841099,0,8.43145E-05,0.020853204
LD,0.00468059,0.024228698,0,0.000233396,0,0,0,1.07026E-05,6.45966E-05,0.000180522,0,0,0.000363169,0,0,0.000578221,0,0,0,0,0,9.49724E-05,0,0,0.000249333,0,0.000168794,0.00023415,0,0,0,0,6.40876E-05,0,0.001435926,0,0.001159926,0.002330208,0.005682844,0.000646843,0,0.002800699,0.001108316,0,0.020964697,0,0.00156446,0,0.001117819,0,0,0,0,0,0,0,0.000124813,6.81703E-06
CT,0.007241473,0.005376422,0,0.003323796,0.000954208,0.000884925,0.000483228,0.006324532,0.016749058,0.000428002,0,2.96735E-06,0.000286032,8.88355E-05,3.26034E-06,0.000493542,0,0.001562708,0.036475666,0.001543759,0.001397993,0.001121311,0.000172827,9.21266E-05,0.009979783,0.013368602,0.011737745,0.004428854,0.000360569,0.000976955,0.001825047,0.001401001,0.009009864,0.002658401,0.001291746,1.92715E-05,0.000300004,0.003065914,0.142964319,0.000616885,0.000453544,0.005351133,0.000343105,0.025559844,0.000755375,0.002523068,0.107989358,0.000584298,0.000459589,0.002359982,0.001002897,0.000977565,0.003399781,0.000360878,0.000850628,0,4.77526E-05,0.009445258
LS,0,0,0.000738023,0,0,0,0,0.006965111,0.004761947,1.74355E-05,0,0,0,0.00145973,0,0,0,0.006884543,0,0,0,0,0,5.49859E-05,0.004714682,0,6.24247E-05,0.013570208,0,0,0,0,0.000387339,0.057428814,0.001396904,9.5619E-05,0,0.001229205,0.051910554,0,0,0.00221326,0,0.007838858,0,0.000221643,0.000220088,0.022844858,0.000337024,1.45972E-05,8.68568E-05,0.000619682,0.004980162,0,0,0,0,0.01172709
MM,0.028436253,0.023807908,0,0.053904545,0.004626628,0.001606903,0.00346247,0.045775108,0.007961155,0.000283353,0,0,0.007393565,0,0.004120019,0.035331942,0,0.026198732,0.515690201,0,0.031820653,0.029884499,0,0,0.003246864,0.010188788,0.000915859,0.157421399,0.005318618,0,0,0,0.006502002,0.449547687,0,0,0,0,0.276170468,0.029298877,0,0,0,0.035191995,0.048946674,0.00067608,0.005617471,0,0,0,9.82687E-05,0.000106973,0.00409588,0.002605627,0,0.000916107,0.000934511,0.029656902
